"Year","Temperature","Rainfall","Potato","Wheat"
"2004","25.625","202","6.826","0.757"
"2005","25.94","218","6.826","0.675"
"2006","26.2","161","5.815","0.498"
"2007","25.54","208","5.029","0.611"
"2008","25.67","171","6.74","0.654"
"2009","26.24","152","6.135","0.645"
"2010","26.31","131","8.209","0.668"
"2011","25.72","157","7.819","0.891"
"2012","25.77","160","8.389","0.827"
"2013","25.9","136","7.193","0.95"
"2014","26.15","136.25","8.077","0.928"
"2015","25.12","142.3","8.015","0.894"
"2004","25.57","355.3","3.883","0.846"
"2005","25.7","346","3.883","0.762"
"2006","26.27","293","4.15","0.603"
"2007","25.96","361","4.404","0.49"
"2008","25.63","245","4.419","0.783"
"2009","26.27","273","5.315","0.84"
"2010","25.99","411","5.333","0.83"
"2011","25.97","258","4.078","0.718"
"2012","25.57","384","3.988","0.811"
"2013","26.01","318","4.465","0.954"
"2014","26.1","281","4.181","0.892"
"2015","25.8","293","4.019","0.723"
"2004","26.225","195.58","5.398","0.709"
"2005","26.6","219","5.398","0.709"
"2006","26.87","159","6.547","0.596"
"2007","26.16","190","8.05","0.566"
"2008","26.38","198","8.526","0.596"
"2009","27.07","160","6.623","0.822"
"2010","27.12","126","7.755","0.452"
"2011","26.26","148","7.73","1.448"
"2012","26.55","110","8.019","0.79"
"2013","26.57","132","7.76","0.874"
"2014","26.65","116.58","7.904","0.956"
"2015","26","123","7.953","0.914"
"2004","26.08","166.75","3.356","0.811"
"2005","25.87","137","3.356","0.596"
"2006","26.6","137","6.954","0.563"
"2007","25.95","170","7.103","0.678"
"2008","26.04","120","7.334","0.832"
"2009","25.85","179","4.823","0.768"
"2010","26.78","162","6.955","1.172"
"2011","25.95","125","4.623","0.937"
"2012","26.22","106","6.194","1.134"
"2013","26.19","136","7.498","1.203"
"2014","26.13","129.33","7.438","1.286"
"2015","27.2","128","7.436","1.271"
"2004","25.25","266.42","3.832","0.643"
"2005","25.4","222","3.832","0.582"
"2006","25.72","163","2.628","0.492"
"2007","25.24","231","3.654","0.626"
"2008","25.38","186","3.621","0.619"
"2009","25.85","138","2.814","0.667"
"2010","25.85","174","3.632","0.446"
"2011","25.08","178","3.81","0.962"
"2012","25.29","123","3.557","0.724"
"2013","25.52","144","3.39","0.766"
"2014","25.6","161.17","4.564","1.025"
"2015","25.8","131.4","3.886","0.914"
"2004","26.5","210.75","4.787","0.741"
"2005","26.52","161","4.787","0.638"
"2006","26.625","166","5.071","0.631"
"2007","25.98","194","6.112","0.643"
"2008","26.15","155","6.629","0.752"
"2009","26.7","151","8.323","0.739"
"2010","26.82","138","8.571","0.697"
"2011","26.1","159","7.997","0.599"
"2012","26.27","134","7.804","0.742"
"2013","26.02","193","7.875","0.693"
"2014","26.25","121.17","8.247","0.77"
"2015","25.67","135.1","8.207","0.893"
"2004","26.325","203.67","8.891","0.944"
"2005","26.77","139","8.891","0.679"
"2006","26.85","147","8.156","0.81"
"2007","26.32","176","7.88","0.924"
"2008","26.32","157","7.859","0.959"
"2009","26.86","131","6.253","1.096"
"2010","27.03","117","10.088","0.843"
"2011","26.14","113","8.224","1.164"
"2012","26.52","108","7.936","1.013"
"2013","26.27","139","9.004","1.141"
"2014","25.9","109.83","9.139","1.22"
"2015","26.1","124.3","9.3","1.249"
"2004","26.575","166.25","5.884","0.877"
"2005","26.92","165","5.884","0.773"
"2006","27","171","5.579","0.636"
"2007","26.42","175","4.256","0.647"
"2008","26.6","133","4.649","0.728"
"2009","27.18","150","3.107","0.859"
"2010","27.29","113","4.848","0.818"
"2011","26.49","162","5.11","1.079"
"2012","26.93","137","4.993","0.922"
"2013","26.65","172","5.398","0.804"
"2014","26.75","121.75","5.217","0.858"
"2015","26.54","168.2","5.245","1.044"
"2004","27.09","220.58","2.628","0"
"2005","26.68","225","2.628","0"
"2006","26.87","190","0","0"
"2007","26.26","238","7.551","0"
"2008","26.37","201","9.875","0.4"
"2009","26.92","192","5.862","0.84"
"2010","27.12","172","7.562","0.667"
"2011","26.39","201","7.419","0.462"
"2012","26.63","157","8.829","0"
"2013","26.4","221","7.531","0"
"2014","26.7","169","6.086","0.413"
"2015","26.2","200","6.241","0.413"
"2004","25.7","179.75","5.327","0.855"
"2005","26.01","174","5.327","0.758"
"2006","26.29","92","5.131","0.686"
"2007","25.87","159","5.217","0.698"
"2008","25.89","149","5.699","0.815"
"2009","26.24","117","3.817","0.855"
"2010","26.5","105","6.452","0.808"
"2011","25.8","143","6.699","0.914"
"2012","26","95","7.491","0.946"
"2013","26.13","101","7.099","0.982"
"2014","26","142.3","7.012","0.994"
"2015","26.3","103.2","6.993","0.986"
"2004","24.78","191","5.129","0.719"
"2005","25.125","247","5.129","0.657"
"2006","25.4","107","5.404","0.623"
"2007","25.22","136","5.656","0.665"
"2008","25.12","147","7.423","0.867"
"2009","25.47","169","4.486","0.806"
"2010","25.55","136","6.8","0.966"
"2011","24.98","137","6.342","1.057"
"2012","25.07","125","7.363","1.109"
"2013","25.17","152","6.831","1.265"
"2014","25.2","116.5","7.131","1.261"
"2015","25.12","132","7.701","1.287"
"2004","25.96","148.83","5.613","0.997"
"2005","26.17","117","5.613","0.799"
"2006","26.325","95","4.905","0.73"
"2007","25.86","168","5.864","0.769"
"2008","25.84","109","6.714","0.9"
"2009","26.3","86","5.957","0.915"
"2010","26.53","66","7.916","1.082"
"2011","26.25","122","8.181","0.999"
"2012","26.1","97","9.157","1.278"
"2013","26.06","104","9.072","1.317"
"2014","26.05","99","8.473","1.269"
"2015","26.1","99.7","8.511","1.321"
"2004","24.83","223.33","7.215","0.899"
"2005","24.99","237","7.215","0.743"
"2006","25.37","140","5.205","0.612"
"2007","25.05","169","5.691","0.719"
"2008","24.95","158","6.268","0.894"
"2009","25.4","184","5.739","0.872"
"2010","25.87","158","7.535","0.887"
"2011","24.93","161","7.81","0.904"
"2012","24.87","157","8.404","0.919"
"2013","25.13","159","8.881","1.016"
"2014","25.2","132.58","8.354","1.141"
"2015","25.3","135.21","8.279","1.173"
